
2021/12/08 (10:28:08) | ===> btop++ v.1.1.2
2021/12/08 (10:28:08) | WARNING: Got an invalid integer value for config name: net_download
2021/12/08 (10:28:08) | WARNING: Got an invalid integer value for config name: net_upload

2021/12/08 (10:28:19) | ===> btop++ v.1.1.2
2021/12/08 (10:28:19) | WARNING: Got an invalid integer value for config name: net_download
2021/12/08 (10:28:19) | WARNING: Got an invalid integer value for config name: net_upload

2021/12/08 (10:30:41) | ===> btop++ v.1.1.2
2021/12/08 (10:30:41) | WARNING: Got an invalid integer value for config name: net_download
2021/12/08 (10:30:41) | WARNING: Got an invalid integer value for config name: net_upload

2021/12/08 (15:22:24) | ===> btop++ v.1.1.2
2021/12/08 (15:22:24) | WARNING: Got an invalid integer value for config name: net_download
2021/12/08 (15:22:24) | WARNING: Got an invalid integer value for config name: net_upload

2021/12/09 (15:08:16) | ===> btop++ v.1.1.2
2021/12/09 (15:08:16) | WARNING: Got an invalid integer value for config name: net_download
2021/12/09 (15:08:16) | WARNING: Got an invalid integer value for config name: net_upload

2021/12/09 (16:38:01) | ===> btop++ v.1.1.2
2021/12/09 (16:38:01) | WARNING: Got an invalid integer value for config name: net_download
2021/12/09 (16:38:01) | WARNING: Got an invalid integer value for config name: net_upload

2021/12/10 (04:30:52) | ===> btop++ v.1.1.2
2021/12/10 (04:30:52) | WARNING: Got an invalid integer value for config name: net_download
2021/12/10 (04:30:52) | WARNING: Got an invalid integer value for config name: net_upload

2021/12/11 (05:09:06) | ===> btop++ v.1.1.2
2021/12/11 (05:09:06) | WARNING: Got an invalid integer value for config name: net_download
2021/12/11 (05:09:06) | WARNING: Got an invalid integer value for config name: net_upload

2022/05/07 (12:12:30) | ===> btop++ v.1.2.6
2022/05/07 (12:12:30) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
